 ,units,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23
E W Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net generation,megawatthours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All primemovers (ALL),megawatthours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net generation-all primemovers-,megawatthours,344783,342427,412843,230432,301447,258258,344902,420145,352842,392881,290476,224550,384381,305714,397578,351945,334579,420473,474782,399343,362832,54210,200971,318807,446652,--,209395,--,395199,323193,392490,399742,323007,247566,324491,354780,380744,398672,287087,142510,390334,353545,371969,322670,318346,342581,161092,350233,406873,356120,391387,223953,153500,315496,436745,456102,260429,176975,158861,346975,281741,287252,301676,312000,190671,338553,442479,463282,276387,256998,334737,319378,339687,400569,338388,162958,346273,354270,344198,509202,309404,323753,327731,349727,361602,342970,421889,267096,264760,379539,395347,375135,331722,314623,378538,359972,388511,280256,216173,77934,123150,201684,225635,257648,158339,170246,170931,310933,372265,290897,192044,105816,176160,347023,342677,372026,245103,184250,223674,280014,290526,209202,297063,133138,290974,282769,335637,326358,121002,42141,91888,150068,123019,184007,153492,177520,324463,309972,394407,335997,215842,50218,100767,246306,296134,227085,228777,289040,283473,233628,248418,248127,231390,216527,222342,236466,375504,294817,345422,162416,319466,250933,261630,278610,182406,164348,270267,236905,271943,329229,305708,262594,249386,264843,234223,257318,194105,102955,219442,137880,209187,130477,110443,165696,176246,329981,299293,232802,212944,164582,143575,91265,134723,31074,175793,135046,97148,164391,217118,134923,69191,184113,243101,70821,355762,99320,338960,169070,216297,241765,188531,125608,182787,257227,328052,40085,186743,20753,179311,170434,118786,38346,177785,143955,170990,85419,95546,41911,107118,101076,63884,116419,127048,96949,195113,140906,115407,126272,33596,58055,19975,143991,119105,114725,86525,119136,151027,115994,18980,130215,57218,36683,201086,95771,94660,103581,78773,266191,179053,82885,58184,64063,74052,83695,30180,5532,23748,115594,7331,132438,160299
Net generation-all primemovers-,megawatthours,343877,340644,405666,215728,288064,240369,315731,386191,340149,389308,286556,219854,375115,298884,389635,320547,326393,388672,404919,364401,336261,47616,190975,315906,435416,347377,206307,362850,392519,322197,389517,389703,323293,247891,322581,352848,375876,396928,283393,134575,384531,346010,370285,319779,318279,341529,160749,349817,384473,355817,390959,209752,70428,176914,404932,419016,213933,160542,128207,303724,276648,278273,285583,310594,160563,275232,323263,369675,273144,256203,333507,318092,339262,388835,335606,144204,333561,344519,339647,422001,285113,309785,323192,333498,347914,333443,416685,266618,263928,370729,386091,364498,328474,315007,372415,352152,364609,259864,208931,72491,123433,195879,224956,253312,147302,169300,171115,307798,355644,289330,192239,101701,168732,330779,325135,341464,232278,181726,220385,258748,287544,205398,295983,131001,281756,271773,308784,311087,118561,38736,90354,150428,118490,183838,143301,145018,258173,292716,330356,306330,201732,43186,97846,241271,285054,226693,223443,277291,277008,229411,217342,239211,222186,205293,214586,231917,257124,232624,281938,81128,304707,229738,228023,255338,172992,156602,221419,209831,214640,196172,196746,108699,180728,203796,206878,226305,168368,60964,130609,134768,143491,99503,11111,117631,153347,246146,234144,196603,189639,126662,126609,82644,100744,14388,162296,101925,86029,145470,183698,118523,57851,167903,216245,57112,232423,92841,284448,90596,175819,212997,154159,99506,154683,227704,289421,16689,126288,16656,153959,144551,94701,20731,131896,96290,131717,18598,-2221,19294,99040,82747,39434,111426,118152,82100,134016,119477,107914,93671,29048,51653,16934,137895,106360,105063,78253,98699,125700,90765,9254,119806,25869,15982,135958,89721,88540,97530,49246,134856,98042,67027,47568,53305,70443,51257,29737,1296,17087,109168,1510,120856,147411
Net generation-all primemovers-,megawatthours,807,19,158,4040,1089,1543,948,674,476,90,380,2405,6752,560,628,13178,858,6,86,586,346,360,2176,986,1219,--,1520,512,130,1670,29,0,570,452,328,914,1859,79,1779,224,682,539,591,552,67,430,343,226,7356,249,531,109,4909,1086,192,194,1296,62,175,1234,1286,729,1013,471,668,5844,1237,436,664,385,186,78,425,166,2008,2266,560,151,1146,343,314,202,969,5958,205,387,377,1010,743,359,277,677,271,43,1764,4086,318,1974,242,808,382,1024,679,600,757,494,564,179,504,109,492,114,674,1651,404,512,600,318,648,429,326,603,598,611,525,379,270,102,350,528,1645,597,734,488,771,896,332,515,108,213,395,369,882,714,344,362,989,279,310,308,533,465,403,542,284,515,149,307,334,828,381,671,1928,180,346,121,639,671,307,180,167,311,952,411,2014,168,359,170,446,372,931,3337,168,867,408,360,403,719,289,845,790,233,565,272,295,253,677,438,304,376,192,246,104,937,608,469,877,136,527,387,63,322,114,465,440,2134,662,1594,2,5,279,397,316,306,221,20,-4,1141,341,247,11,290,193,7,1963,39,1,250,38,1175,353,7,149,211,338,424,8,459,203,0,18,343,332,361,4,640,662,62,140,405,374,13,267,6900,810,0,252,7,235,431,348
Net generation-all primemovers-,megawatthours,99,1764,7019,10664,12294,16346,28223,33280,12217,3483,3540,2291,2514,6270,7315,18220,7328,31795,69777,34356,26225,6234,7820,1915,10017,-645,1568,--,2550,-674,2944,10039,-856,-777,1582,1018,3009,1665,1915,7711,5121,6996,1093,2339,0,622,0,190,15044,54,-103,14092,78163,137496,31621,36892,45200,16371,30479,42017,3807,8250,15080,935,29440,57477,117979,93171,2579,410,1044,1208,0,11568,773,16487,12152,9600,3405,86858,23977,13766,3570,10271,13483,9140,4827,-532,89,8451,8979,9960,2977,-428,4359,3734,23584,18418,7000,4635,-665,4781,0,3736,10280,452,-748,2956,16117,1458,-687,4001,6754,14593,17138,30050,12225,2206,2641,20837,2656,3201,482,1526,8693,10617,26583,15169,2091,2877,-111,-957,3795,-319,9420,31606,65958,16741,63943,29454,13715,6663,2039,4321,10736,30,4345,11470,6155,3909,30543,8451,8801,10692,7472,4034,118231,61886,63150,80460,14378,20524,31679,23092,9068,7625,48209,26403,56996,132877,108795,153584,67706,60636,25331,30845,25378,41821,88387,2740,64765,27636,99164,47198,22491,81240,62777,33532,21104,35456,14952,7563,32903,15268,11675,31174,8512,16318,31240,14444,9441,14497,25730,11948,121900,5178,52211,76556,37889,26309,32223,23976,26721,27662,37412,20569,59047,1670,23831,24159,22011,15377,43489,45354,37200,65404,96738,20816,6929,17256,23197,3066,6935,12935,57074,19616,5904,31165,3389,4538,1978,5519,10994,7760,6045,18241,23460,23087,7958,9165,30166,19578,64138,4591,4683,3872,27068,129169,79147,13637,8584,9190,2377,24844,-1026,3170,5063,4615,3731,9379,10735
Net generation-all primemovers-,megawatthours,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,2235,1969,1948,1912,1619,1224,825,511,1146,1527,1694,1930,2165,1876,1580,1707,1467,1022,824,831,832,1424,1782,2062,2072,2086,1804,1269,1396,779,693,746,833,1519,1719,1795,1842,2084,2005,1852,1397,1033,660,808,826,1242,1637,1768,1907,2059,1774,1588,1186,1121,689,709,570,1602,1691,1888,1772,1859,1683,1565,1244,1165,779,658,1098,1433,1539,1797,2104,1724,1816,1658,1555,965,695,659,1066,1346,1804,1855,1771,1805
Net generation-all primemovers-,megawatthours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net generation-combustion (gas) turbine (including jet engine design)-,megawatthours,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1142,--,632,0,0,0,0,0,0,0,0,599,1085,0,1643,0,0,0,0,0,0,0,0,0,6992,-134,0,0,4625,0,0,0,1071,0,0,0,610,17,279,55,32,5308,636,0,246,0,106,0,0,111,1714,2202,0,0,0,0,0,0,0,5381,0,0,0,0,0,0,--,--,--,-545,1666,3571,32,1509,0,0,0,175,0,0,0,0,0,0,200,0,0,0,0,1464,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,36,0,0,137,0,0,0,0,0,0,0,50,57,0,0,--,0,46,131,1568,0,31,0,215,111,0,0,0,0,203,0,1464,0,0,0,0,113,291,2614,0,0,0,57,0,0,0,0,109,0,0,0,0,0,27,0,0,0,0,0,0,118,0,0,0,0,0,131,0,0,0,0,216,2127,0,1193,0,0,0,160,0,0,0,0,0,259,0,0,0,0,193,0,1683,0,0,0,0,0,146,7,0,0,48,0,0,0,0,0,0,63,0,0,0,320,60,0,0,0,0,0,0,6645,0,0,0,0,0,78,0
Net generation-combustion (gas) turbine (including jet engine design)-,megawatthours,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10017,-645,1568,--,2550,-674,2944,10039,-856,-777,1582,1018,3009,1665,1915,7711,5121,6996,1093,2339,0,622,0,190,15044,54,-103,14092,78163,137496,31621,36892,45200,16371,30479,42017,3807,8250,15080,935,29440,57477,117979,93171,2579,410,1044,1208,0,11568,773,16487,12152,9600,3405,86858,23977,13766,3570,10271,13483,9140,4827,-532,89,8451,8979,9960,2977,-428,4359,3734,23584,18418,7000,4635,-665,4781,0,3736,10280,452,-748,2956,16117,1458,-687,4001,6754,14593,17138,30050,12225,2206,2641,20837,2656,3201,482,1526,8693,10617,26583,15169,2091,2877,-111,-957,3795,-319,9420,31606,65958,16741,63943,29454,13715,6663,2039,4321,10736,30,4345,11470,6155,3909,30543,8451,8801,10692,7472,4034,118231,61886,63150,80460,14378,20524,31679,23092,9068,7625,48209,26403,56996,132877,108795,153584,67706,60636,25331,30845,25378,41821,88387,2740,64765,27636,99164,47198,22491,81240,62777,33532,21104,35456,14952,7563,32903,15268,11675,31174,8512,16318,31240,14444,9441,14497,25730,11948,121900,5178,52211,76556,37889,26309,32223,23976,26721,27662,37412,20569,59047,1670,23831,24159,22011,15377,43489,45354,37200,65404,96738,20816,6929,17256,23197,3066,6935,12935,57074,19616,5904,31165,3389,4538,1978,5519,10994,7760,6045,18241,23460,23087,7958,9165,30166,19578,64138,4591,4683,3872,27068,129169,79147,13637,8584,9190,2377,24844,-1026,3170,5063,4615,3731,9379,10735
Net generation-combustion (gas) turbine (including jet engine design)-,megawatthours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net generation-photovoltaic-,megawatthours,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,2235,1969,1948,1912,1619,1224,825,511,1146,1527,1694,1930,2165,1876,1580,1707,1467,1022,824,831,832,1424,1782,2062,2072,2086,1804,1269,1396,779,693,746,833,1519,1719,1795,1842,2084,2005,1852,1397,1033,660,808,826,1242,1637,1768,1907,2059,1774,1588,1186,1121,689,709,570,1602,1691,1888,1772,1859,1683,1565,1244,1165,779,658,1098,1433,1539,1797,2104,1724,1816,1658,1555,965,695,659,1066,1346,1804,1855,1771,1805
Net generation-photovoltaic-,megawatthours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net generation-steam turbine-,megawatthours,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,435416,347377,206307,362850,392519,322197,389517,389703,323293,247891,322581,352848,375876,396928,283393,134575,384531,346010,370285,319779,318279,341529,160749,349817,384473,355817,390959,209752,70428,176914,404932,419016,213933,160542,128207,303724,276648,278273,285583,310594,160563,275232,323263,369675,273144,256203,333507,318092,339262,388835,335606,144204,333561,344519,339647,422001,285113,309785,323192,333498,347914,333443,416685,266618,263928,370729,386091,364498,328474,315007,372415,352152,364609,259864,208931,72491,123433,195879,224956,253312,147302,169300,171115,307798,355644,289330,192239,101701,168732,330779,325135,341464,232278,181726,220385,258748,287544,205398,295983,131001,281756,271773,308784,311087,118561,38736,90354,150428,118490,183838,143301,145018,258173,292716,330356,306330,201732,43186,97846,241271,285054,226693,223443,277291,277008,229411,217342,239211,222186,205293,214586,231917,257124,232624,281938,81128,304707,229738,228023,255338,172992,156602,221419,209831,214640,196172,196746,108699,180728,203796,206878,226305,168368,60964,130609,134768,143491,99503,11111,117631,153347,246146,234144,196603,189639,126662,126609,82644,100744,14388,162296,101925,86029,145470,183698,118523,57851,167903,216245,57112,232423,92841,284448,90596,175819,212997,154159,99506,154683,227704,289421,16689,126288,16656,153959,144551,94701,20731,131896,96290,131717,18598,-2221,19294,99040,82747,39434,111426,118152,82100,134016,119477,107914,93671,29048,51653,16934,137895,106360,105063,78253,98699,125700,90765,9254,119806,25869,15982,135958,89721,88540,97530,49246,134856,98042,67027,47568,53305,70443,51257,29737,1296,17087,109168,1510,120856,147411
Net generation-steam turbine-,megawatthours,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,77,44,888,512,130,1670,29,0,570,452,328,315,774,79,136,224,682,539,591,552,67,430,343,226,364,383,531,109,284,1086,192,194,225,62,175,1234,676,712,734,416,636,536,601,436,418,385,80,78,425,55,295,65,560,151,1146,343,314,202,969,577,205,387,377,1010,743,359,277,677,271,588,98,515,286,465,242,808,382,849,679,600,757,494,564,179,304,109,492,114,674,187,404,512,600,318,648,429,326,603,598,611,511,379,270,102,350,528,1645,597,734,488,771,896,332,515,108,213,395,369,867,678,344,362,852,279,310,308,533,465,403,542,234,458,149,307,334,828,335,540,360,180,315,121,424,560,307,180,167,311,749,411,550,168,359,170,446,259,640,724,168,867,408,303,403,719,289,845,681,233,565,272,295,253,650,438,304,376,192,246,104,819,608,469,877,136,527,256,63,322,114,465,224,7,662,401,2,5,279,236,316,306,221,20,-4,882,341,247,11,290,0,7,281,39,1,250,38,1175,208,0,149,211,291,424,8,459,203,0,18,281,332,361,4,320,602,62,140,405,374,13,267,254,810,0,252,7,235,354,348
Fuel consumption quantity,physical unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All primemovers (ALL),physical unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel consumption quantity-all primemovers-,tons,145134,143229,170688,92478,114985,106118,141829,168164,146780,168368,122165,95319,162438,127535,167213,134314,139869,169261,176159,157627,147375,22995,84526,138626,186898,147232,84647,149545,164620,137871,162691,161468,135810,103821,133185,146526,158583,161427,118844,55813,160183,144841,158673,138870,135922,142057,70515,149468,162175,149361,164895,88641,31137,74968,170392,176437,89362,66030,52042,127322,116358,115241,118797,130334,68795,119865,140136,159384,118790,110306,142465,134765,144134,162588,141264,63319,143495,146510,145795,179671,120430,130812,137415,142449,148841,145795,178455,116039,115308,160590,167800,159013,142025,136687,160995,156250,158980,113442,91691,33643,53615,86533,96595,110449,64887,74867,74252,133697,153964,127169,83004,43278,74760,147115,143779,152158,106474,82384,100806,119746,133532,96441,142701,64651,133884,128884,145593,145145,58969,23241,47935,73611,58797,92150,72035,71873,124878,139765,157061,146529,98822,23107,50447,119322,140446,112145,109044,134420,131621,114603,108940,118490,110213,102179,106802,117379,128659,117276,138411,40173,145895,112772,110877,123572,84936,80507,109203,105275,107914,99788,97458,53830,90419,103804,105887,112709,85075,33732,66858,67752,74625,50971,7625,59470,76625,121876,116887,99207,94669,64139,63287,44243,53357,9206,81991,52775,46018,73669,92465,60112,30652,84874,105790,31197,114718,48548,143653,48271,95113,112657,78231,52795,77926,113111,142301,10424,67505,10665,78101,73309,50287,12235,68621,51211,68659,10645,0,14284,55474,47996,21140,57837,61318,43058,68391,63243,56611,49257,15776,24104,10368,71162,56775,54275,41003,51744,66378,49460,6327,63581,14281,10049,70482,48607,47946,51930,27423,64878,52984,37340,27051,29614,37631,29037,18670,1935,9762,55309,3228,62145,76141
Fuel consumption quantity-all primemovers-,barrels,5426,351,347,10426,2481,3916,2316,1480,713,191,559,7980,22984,826,930,27754,1270,14,196,1080,648,742,4104,1842,2876,--,3318,899,233,3044,52,0,1021,807,577,2931,4234,137,4513,395,1210,962,1080,1022,122,762,642,411,14740,698,955,196,10133,1961,344,348,2349,109,303,2205,2851,1298,1900,921,1240,11725,2581,801,1463,705,330,141,1032,356,6048,4916,1000,267,2048,609,554,356,1712,12603,364,701,666,1810,1336,639,497,1214,482,1168,4343,8833,581,4058,437,1549,690,2068,1219,1093,1389,912,1021,325,1038,199,884,203,1247,4182,743,946,1138,598,1232,822,623,1158,1123,1225,1024,730,513,192,704,1282,3529,1181,1465,979,1544,1757,632,962,200,396,751,777,1776,1380,651,688,1979,526,572,596,1034,891,774,1046,569,1067,289,597,634,1607,729,1319,3902,346,683,244,1319,1341,604,357,324,609,1907,813,4441,325,707,367,894,827,1930,7296,453,1727,803,714,789,1418,565,1679,1574,486,1166,677,579,510,1418,861,596,745,398,488,199,2028,1178,962,1725,280,1094,815,123,657,222,892,900,4391,1362,4341,3,9,571,874,633,629,442,44,0,2993,729,545,22,572,414,14,4038,78,2,505,79,2103,940,20,306,419,691,856,16,958,531,0,37,789,650,740,8,1432,1382,113,290,859,811,28,537,14824,1916,0,542,13,1890,858,678
