 ,units,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23
Fuel consumption quantity-all primemovers-,mcf,2672,33936,116444,166355,183796,225056,362764,447058,173349,52515,55708,42408,45843,93137,103837,239559,106328,408304,908258,453053,330677,89237,102445,42780,173550,0,33501,--,47032,0,49547,125444,0,0,26907,28518,63308,36697,28065,100893,76186,92133,21348,46445,0,14726,0,1924,182692,10302,9472,202029,920589,1514344,380032,438524,508192,188801,336554,468892,58921,119677,197367,9886,384484,722816,1397971,1104541,43578,4179,10444,26998,6582,155496,14312,206008,156275,123132,52137,1080151,294242,184273,59030,126789,175144,127553,75496,5928,18226,117829,120532,123063,43891,541,62586,47369,304558,225939,96235,65127,4842,79215,114690,65615,135795,16259,5037,51192,225594,38782,5287,62607,101602,219298,235038,384650,163394,38168,46802,297813,47914,70580,27384,30031,127094,145544,347490,202187,39246,78781,14636,1094,60147,9019,118460,365814,742444,203903,730800,364281,171277,94250,36982,62574,147289,14531,68605,152693,83222,59538,374449,111737,110541,132514,100150,68054,1595293,688211,724781,934119,180624,245490,372082,279670,117274,96953,639397,329223,679632,1550047,1153949,1695207,856725,745878,332598,389512,319058,511282,1049885,44209,800397,354357,1204646,574269,287936,1011982,788413,421152,263515,429130,189488,111435,411925,189971,151496,369133,121978,211817,395447,189802,124798,180608,312161,158110,1398925,66251,558608,797804,611979,341607,397548,304026,336352,347644,471701,242609,679220,26959,264902,313084,282619,185350,503749,516134,427939,720099,1056053,229186,87623,202070,264677,45833,85282,157246,679506,226882,74991,331660,55014,71430,35292,89136,142816,109438,75614,218842,277091,281678,103027,112070,364402,214060,697633,65002,64118,54767,315233,1440392,907763,198040,112103,119306,34928,306274,522,46751,70025,62020,55351,119408,137026
Fuel consumption quantity-all primemovers-,physical unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel consumption quantity-combustion (gas) turbine (including jet engine design)-,barrels,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2736,--,1766,0,0,0,0,0,0,0,0,2373,2842,0,4270,0,0,0,0,0,0,0,0,0,14085,13,0,0,9598,0,0,0,1949,0,0,0,1639,41,599,177,78,10731,1470,0,688,0,185,0,279,260,5530,4797,0,0,0,0,0,0,0,11579,0,0,0,0,0,0,--,--,--,120,4169,7897,71,3227,0,0,0,506,0,0,0,0,0,0,489,0,0,0,0,3836,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,91,0,0,378,0,0,0,0,0,0,0,116,167,0,0,--,0,100,273,3210,0,70,0,498,242,0,0,0,0,448,0,3351,0,0,0,0,317,626,5842,0,0,0,124,0,0,0,0,241,0,0,0,0,0,67,0,0,0,0,0,0,272,0,0,0,0,0,297,0,0,0,0,475,4374,0,3355,0,0,0,337,0,0,0,0,0,497,0,0,0,0,414,0,3492,0,0,0,0,0,453,20,0,0,104,0,0,0,0,0,0,120,0,0,0,789,122,0,0,0,0,0,0,14281,0,0,0,0,0,172,0
Fuel consumption quantity-combustion (gas) turbine (including jet engine design)-,mcf,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,173550,0,33501,--,47032,0,49547,125444,0,0,26907,28518,63308,36697,28065,100893,76186,92133,21348,46445,0,14726,0,1924,182692,10302,9472,202029,920589,1514344,380032,438524,508192,188801,336554,468892,58921,119677,197367,9886,384484,722816,1397971,1104541,43578,4179,10444,26998,6582,155496,14312,206008,156275,123132,52137,1080151,294242,184273,59030,126789,175144,127553,75496,5928,18226,117829,120532,123063,43891,541,62586,47369,304558,225939,96235,65127,4842,79215,114690,65615,135795,16259,5037,51192,225594,38782,5287,62607,101602,219298,235038,384650,163394,38168,46802,297813,47914,70580,27384,30031,127094,145544,347490,202187,39246,78781,14636,1094,60147,9019,118460,365814,742444,203903,730800,364281,171277,94250,36982,62574,147289,14531,68605,152693,83222,59538,374449,111737,110541,132514,100150,68054,1595293,688211,724781,934119,180624,245490,372082,279670,117274,96953,639397,329223,679632,1550047,1153949,1695207,856725,745878,332598,389512,319058,511282,1049885,44209,800397,354357,1204646,574269,287936,1011982,788413,421152,263515,429130,189488,111435,411925,189971,151496,369133,121978,211817,395447,189802,124798,180608,312161,158110,1398925,66251,558608,797804,611979,341607,397548,304026,336352,347644,471701,242609,679220,26959,264902,313084,282619,185350,503749,516134,427939,720099,1056053,229186,87623,202070,264677,45833,85282,157246,679506,226882,74991,331660,55014,71430,35292,89136,142816,109438,75614,218842,277091,281678,103027,112070,364402,214060,697633,65002,64118,54767,315233,1440392,907763,198040,112103,119306,34928,306274,522,46751,70025,62020,55351,119408,137026
Fuel consumption quantity-combustion (gas) turbine (including jet engine design)-,physical unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel consumption quantity-steam turbine-,tons,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,186898,147232,84647,149545,164620,137871,162691,161468,135810,103821,133185,146526,158583,161427,118844,55813,160183,144841,158673,138870,135922,142057,70515,149468,162175,149361,164895,88641,31137,74968,170392,176437,89362,66030,52042,127322,116358,115241,118797,130334,68795,119865,140136,159384,118790,110306,142465,134765,144134,162588,141264,63319,143495,146510,145795,179671,120430,130812,137415,142449,148841,145795,178455,116039,115308,160590,167800,159013,142025,136687,160995,156250,158980,113442,91691,33643,53615,86533,96595,110449,64887,74867,74252,133697,153964,127169,83004,43278,74760,147115,143779,152158,106474,82384,100806,119746,133532,96441,142701,64651,133884,128884,145593,145145,58969,23241,47935,73611,58797,92150,72035,71873,124878,139765,157061,146529,98822,23107,50447,119322,140446,112145,109044,134420,131621,114603,108940,118490,110213,102179,106802,117379,128659,117276,138411,40173,145895,112772,110877,123572,84936,80507,109203,105275,107914,99788,97458,53830,90419,103804,105887,112709,85075,33732,66858,67752,74625,50971,7625,59470,76625,121876,116887,99207,94669,64139,63287,44243,53357,9206,81991,52775,46018,73669,92465,60112,30652,84874,105790,31197,114718,48548,143653,48271,95113,112657,78231,52795,77926,113111,142301,10424,67505,10665,78101,73309,50287,12235,68621,51211,68659,10645,0,14284,55474,47996,21140,57837,61318,43058,68391,63243,56611,49257,15776,24104,10368,71162,56775,54275,41003,51744,66378,49460,6327,63581,14281,10049,70482,48607,47946,51930,27423,64878,52984,37340,27051,29614,37631,29037,18670,1935,9762,55309,3228,62145,76141
Fuel consumption quantity-steam turbine-,barrels,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,140,80,1552,899,233,3044,52,0,1021,807,577,558,1392,137,243,395,1210,962,1080,1022,122,762,642,411,655,685,955,196,535,1961,344,348,400,109,303,2205,1212,1257,1301,744,1162,994,1111,801,775,705,145,141,753,96,518,119,1000,267,2048,609,554,356,1712,1024,364,701,666,1810,1336,639,497,1214,482,1048,174,936,510,831,437,1549,690,1562,1219,1093,1389,912,1021,325,549,199,884,203,1247,346,743,946,1138,598,1232,822,623,1158,1123,1225,989,730,513,192,704,1282,3529,1181,1465,979,1544,1757,632,962,200,396,751,777,1727,1289,651,688,1601,526,572,596,1034,891,774,1046,453,900,289,597,634,1607,629,1046,692,346,613,244,821,1099,604,357,324,609,1459,813,1090,325,707,367,894,510,1304,1454,453,1727,803,590,789,1418,565,1679,1333,486,1166,677,579,510,1351,861,596,745,398,488,199,1756,1178,962,1725,280,1094,518,123,657,222,892,425,17,1362,986,3,9,571,537,633,629,442,44,0,2496,729,545,22,572,0,14,546,78,2,505,79,2103,487,0,306,419,587,856,16,958,531,0,37,669,650,740,8,643,1260,113,290,859,811,28,537,543,1916,0,542,13,1890,686,678
Electric fuel consumption quantity,physical unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All primemovers (ALL),physical unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric fuel consumption quantity-all primemovers-,tons,145134,143229,170688,92478,114985,106118,141829,168164,146780,168368,122165,95319,162438,127535,167213,134314,139869,169261,176159,157627,147375,22995,84526,138626,186898,147232,84647,149545,164620,137871,162691,161468,135810,103821,133185,146526,158583,161427,118844,55813,160183,144841,158673,138870,135922,142057,70515,149468,162175,149361,164895,88641,31137,74968,170392,176437,89362,66030,52042,127322,116358,115241,118797,130334,68795,119865,140136,159384,118790,110306,142465,134765,144134,162588,141264,63319,143495,146510,145795,179671,120430,130812,137415,142449,148841,145795,178455,116039,115308,160590,167800,159013,142025,136687,160995,156250,158980,113442,91691,33643,53615,86533,96595,110449,64887,74867,74252,133697,153964,127169,83004,43278,74760,147115,143779,152158,106474,82384,100806,119746,133532,96441,142701,64651,133884,128884,145593,145145,58969,23241,47935,73611,58797,92150,72035,71873,124878,139765,157061,146529,98822,23107,50447,119322,140446,112145,109044,134420,131621,114603,108940,118490,110213,102179,106802,117379,128659,117276,138411,40173,145895,112772,110877,123572,84936,80507,109203,105275,107914,99788,97458,53830,90419,103804,105887,112709,85075,33732,66858,67752,74625,50971,7625,59470,76625,121876,116887,99207,94669,64139,63287,44243,53357,9206,81991,52775,46018,73669,92465,60112,30652,84874,105790,31197,114718,48548,143653,48271,95113,112657,78231,52795,77926,113111,142301,10424,67505,10665,78101,73309,50287,12235,68621,51211,68659,10645,0,14284,55474,47996,21140,57837,61318,43058,68391,63243,56611,49257,15776,24104,10368,71162,56775,54275,41003,51744,66378,49460,6327,63581,14281,10049,70482,48607,47946,51930,27423,64878,52984,37340,27051,29614,37631,29037,18670,1935,9762,55309,3228,62145,76141
Electric fuel consumption quantity-all primemovers-,barrels,5426,351,347,10426,2481,3916,2316,1480,713,191,559,7980,22984,826,930,27754,1270,14,196,1080,648,742,4104,1842,2876,--,3318,899,233,3044,52,0,1021,807,577,2931,4234,137,4513,395,1210,962,1080,1022,122,762,642,411,14740,698,955,196,10133,1961,344,348,2349,109,303,2205,2851,1298,1900,921,1240,11725,2581,801,1463,705,330,141,1032,356,6048,4916,1000,267,2048,609,554,356,1712,12603,364,701,666,1810,1336,639,497,1214,482,1168,4343,8833,581,4058,437,1549,690,2068,1219,1093,1389,912,1021,325,1038,199,884,203,1247,4182,743,946,1138,598,1232,822,623,1158,1123,1225,1024,730,513,192,704,1282,3529,1181,1465,979,1544,1757,632,962,200,396,751,777,1776,1380,651,688,1979,526,572,596,1034,891,774,1046,569,1067,289,597,634,1607,729,1319,3902,346,683,244,1319,1341,604,357,324,609,1907,813,4441,325,707,367,894,827,1930,7296,453,1727,803,714,789,1418,565,1679,1574,486,1166,677,579,510,1418,861,596,745,398,488,199,2028,1178,962,1725,280,1094,815,123,657,222,892,900,4391,1362,4341,3,9,571,874,633,629,442,44,0,2993,729,545,22,572,414,14,4038,78,2,505,79,2103,940,20,306,419,691,856,16,958,531,0,37,789,650,740,8,1432,1382,113,290,859,811,28,537,14824,1916,0,542,13,1890,858,678
Electric fuel consumption quantity-all primemovers-,mcf,2672,33936,116444,166355,183796,225056,362764,447058,173349,52515,55708,42408,45843,93137,103837,239559,106328,408304,908258,453053,330677,89237,102445,42780,173550,0,33501,--,47032,0,49547,125444,0,0,26907,28518,63308,36697,28065,100893,76186,92133,21348,46445,0,14726,0,1924,182692,10302,9472,202029,920589,1514344,380032,438524,508192,188801,336554,468892,58921,119677,197367,9886,384484,722816,1397971,1104541,43578,4179,10444,26998,6582,155496,14312,206008,156275,123132,52137,1080151,294242,184273,59030,126789,175144,127553,75496,5928,18226,117829,120532,123063,43891,541,62586,47369,304558,225939,96235,65127,4842,79215,114690,65615,135795,16259,5037,51192,225594,38782,5287,62607,101602,219298,235038,384650,163394,38168,46802,297813,47914,70580,27384,30031,127094,145544,347490,202187,39246,78781,14636,1094,60147,9019,118460,365814,742444,203903,730800,364281,171277,94250,36982,62574,147289,14531,68605,152693,83222,59538,374449,111737,110541,132514,100150,68054,1595293,688211,724781,934119,180624,245490,372082,279670,117274,96953,639397,329223,679632,1550047,1153949,1695207,856725,745878,332598,389512,319058,511282,1049885,44209,800397,354357,1204646,574269,287936,1011982,788413,421152,263515,429130,189488,111435,411925,189971,151496,369133,121978,211817,395447,189802,124798,180608,312161,158110,1398925,66251,558608,797804,611979,341607,397548,304026,336352,347644,471701,242609,679220,26959,264902,313084,282619,185350,503749,516134,427939,720099,1056053,229186,87623,202070,264677,45833,85282,157246,679506,226882,74991,331660,55014,71430,35292,89136,142816,109438,75614,218842,277091,281678,103027,112070,364402,214060,697633,65002,64118,54767,315233,1440392,907763,198040,112103,119306,34928,306274,522,46751,70025,62020,55351,119408,137026
Electric fuel consumption quantity-all primemovers-,physical unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric fuel consumption quantity-combustion (gas) turbine (including jet engine design)-,barrels,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2736,--,1766,0,0,0,0,0,0,0,0,2373,2842,0,4270,0,0,0,0,0,0,0,0,0,14085,13,0,0,9598,0,0,0,1949,0,0,0,1639,41,599,177,78,10731,1470,0,688,0,185,0,279,260,5530,4797,0,0,0,0,0,0,0,11579,0,0,0,0,0,0,--,--,--,120,4169,7897,71,3227,0,0,0,506,0,0,0,0,0,0,489,0,0,0,0,3836,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,91,0,0,378,0,0,0,0,0,0,0,116,167,0,0,--,0,100,273,3210,0,70,0,498,242,0,0,0,0,448,0,3351,0,0,0,0,317,626,5842,0,0,0,124,0,0,0,0,241,0,0,0,0,0,67,0,0,0,0,0,0,272,0,0,0,0,0,297,0,0,0,0,475,4374,0,3355,0,0,0,337,0,0,0,0,0,497,0,0,0,0,414,0,3492,0,0,0,0,0,453,20,0,0,104,0,0,0,0,0,0,120,0,0,0,789,122,0,0,0,0,0,0,14281,0,0,0,0,0,172,0
Electric fuel consumption quantity-combustion (gas) turbine (including jet engine design)-,mcf,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,173550,0,33501,--,47032,0,49547,125444,0,0,26907,28518,63308,36697,28065,100893,76186,92133,21348,46445,0,14726,0,1924,182692,10302,9472,202029,920589,1514344,380032,438524,508192,188801,336554,468892,58921,119677,197367,9886,384484,722816,1397971,1104541,43578,4179,10444,26998,6582,155496,14312,206008,156275,123132,52137,1080151,294242,184273,59030,126789,175144,127553,75496,5928,18226,117829,120532,123063,43891,541,62586,47369,304558,225939,96235,65127,4842,79215,114690,65615,135795,16259,5037,51192,225594,38782,5287,62607,101602,219298,235038,384650,163394,38168,46802,297813,47914,70580,27384,30031,127094,145544,347490,202187,39246,78781,14636,1094,60147,9019,118460,365814,742444,203903,730800,364281,171277,94250,36982,62574,147289,14531,68605,152693,83222,59538,374449,111737,110541,132514,100150,68054,1595293,688211,724781,934119,180624,245490,372082,279670,117274,96953,639397,329223,679632,1550047,1153949,1695207,856725,745878,332598,389512,319058,511282,1049885,44209,800397,354357,1204646,574269,287936,1011982,788413,421152,263515,429130,189488,111435,411925,189971,151496,369133,121978,211817,395447,189802,124798,180608,312161,158110,1398925,66251,558608,797804,611979,341607,397548,304026,336352,347644,471701,242609,679220,26959,264902,313084,282619,185350,503749,516134,427939,720099,1056053,229186,87623,202070,264677,45833,85282,157246,679506,226882,74991,331660,55014,71430,35292,89136,142816,109438,75614,218842,277091,281678,103027,112070,364402,214060,697633,65002,64118,54767,315233,1440392,907763,198040,112103,119306,34928,306274,522,46751,70025,62020,55351,119408,137026
Electric fuel consumption quantity-combustion (gas) turbine (including jet engine design)-,physical unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric fuel consumption quantity-steam turbine-,tons,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,186898,147232,84647,149545,164620,137871,162691,161468,135810,103821,133185,146526,158583,161427,118844,55813,160183,144841,158673,138870,135922,142057,70515,149468,162175,149361,164895,88641,31137,74968,170392,176437,89362,66030,52042,127322,116358,115241,118797,130334,68795,119865,140136,159384,118790,110306,142465,134765,144134,162588,141264,63319,143495,146510,145795,179671,120430,130812,137415,142449,148841,145795,178455,116039,115308,160590,167800,159013,142025,136687,160995,156250,158980,113442,91691,33643,53615,86533,96595,110449,64887,74867,74252,133697,153964,127169,83004,43278,74760,147115,143779,152158,106474,82384,100806,119746,133532,96441,142701,64651,133884,128884,145593,145145,58969,23241,47935,73611,58797,92150,72035,71873,124878,139765,157061,146529,98822,23107,50447,119322,140446,112145,109044,134420,131621,114603,108940,118490,110213,102179,106802,117379,128659,117276,138411,40173,145895,112772,110877,123572,84936,80507,109203,105275,107914,99788,97458,53830,90419,103804,105887,112709,85075,33732,66858,67752,74625,50971,7625,59470,76625,121876,116887,99207,94669,64139,63287,44243,53357,9206,81991,52775,46018,73669,92465,60112,30652,84874,105790,31197,114718,48548,143653,48271,95113,112657,78231,52795,77926,113111,142301,10424,67505,10665,78101,73309,50287,12235,68621,51211,68659,10645,0,14284,55474,47996,21140,57837,61318,43058,68391,63243,56611,49257,15776,24104,10368,71162,56775,54275,41003,51744,66378,49460,6327,63581,14281,10049,70482,48607,47946,51930,27423,64878,52984,37340,27051,29614,37631,29037,18670,1935,9762,55309,3228,62145,76141
Electric fuel consumption quantity-steam turbine-,barrels,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,140,80,1552,899,233,3044,52,0,1021,807,577,558,1392,137,243,395,1210,962,1080,1022,122,762,642,411,655,685,955,196,535,1961,344,348,400,109,303,2205,1212,1257,1301,744,1162,994,1111,801,775,705,145,141,753,96,518,119,1000,267,2048,609,554,356,1712,1024,364,701,666,1810,1336,639,497,1214,482,1048,174,936,510,831,437,1549,690,1562,1219,1093,1389,912,1021,325,549,199,884,203,1247,346,743,946,1138,598,1232,822,623,1158,1123,1225,989,730,513,192,704,1282,3529,1181,1465,979,1544,1757,632,962,200,396,751,777,1727,1289,651,688,1601,526,572,596,1034,891,774,1046,453,900,289,597,634,1607,629,1046,692,346,613,244,821,1099,604,357,324,609,1459,813,1090,325,707,367,894,510,1304,1454,453,1727,803,590,789,1418,565,1679,1333,486,1166,677,579,510,1351,861,596,745,398,488,199,1756,1178,962,1725,280,1094,518,123,657,222,892,425,17,1362,986,3,9,571,537,633,629,442,44,0,2496,729,545,22,572,0,14,546,78,2,505,79,2103,487,0,306,419,587,856,16,958,531,0,37,669,650,740,8,643,1260,113,290,859,811,28,537,543,1916,0,542,13,1890,686,678
MMBtu per unit,MMBtu per physical unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All primemovers (ALL),MMBtu per physical unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
